Id,QuaternaryFaultDensity,HorizGravityGradient2,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient2,Heatflow,DEM-30m,X_83UTM11,Y_83UTM11,TrainCodeNeg,TrainCodePos,TrainCodePosT130,TrainCodePosT37,NAME,MAX_MAXT,Blind,POWER,E_utm83,N_utm83,Depth(m)
48,1.215426054,2.488578555,-0.573083818,-0.268237903,-0.151136189,-0.007385101,0.069124473,0.203579457,-1.086515774,0.685576629,524577.6902,4297213.766,12,1,12,1,Mosquito Ranch Springs,73,no,0,524459.8282,4297178.07,
61,0.164505067,-0.308321537,1.303286834,1.103375915,0.474583538,-1.416764846,0.490365911,0.574543929,-0.0867058,-1.362323377,385077.6902,4299713.766,12,1,1,12,Wild Rose,151,yes,0,385171.5057,4299838.452,
39,0.925212385,1.521109911,1.54704795,1.703414473,1.304768075,0.749288492,1.081068468,-0.12616674,-0.966691255,-0.993495038,290827.6902,4308213.766,12,1,12,1,Hind's-Nevada Hot Springs,80,no,0,290921.2688,4308300.517,
23,1.195944333,3.224229742,1.213635058,0.015331974,0.979826842,0.862137994,1.620053319,0.677589616,0.034506638,-1.439699952,396327.6902,4308463.766,12,1,1,12,Rawhide-Wedell Hot Spring,151,no,0,396294.4135,4308467.364,
15,-1.360528183,0.89295524,-0.509615895,1.16935477,-0.042402781,-1.344845215,-0.206033971,-0.012816485,-0.309924558,-0.374482442,494827.6902,4311463.766,12,1,1,12,Duckwater Area,45,no,0,612546.216,4311972.886,
72,0.750554605,-0.131921938,-0.747091027,-0.588822279,-0.461574792,-0.237733962,0.345153461,-0.12616674,-1.674038298,-0.273892895,612577.6902,4311963.766,12,1,12,1,Williams Hot Springs,123,no,0,653049.7332,4312823.249,
10,-0.489102047,-1.289532268,-0.393024785,-1.595820393,-0.841451697,0.400187317,0.475534814,0.430279968,-0.8928836,0.293535318,653077.6902,4312713.766,12,1,12,1,Big Blue,155,no,0,494879.6296,4311349.311,
12,-0.758414215,2.32816858,1.218281748,0.584405446,0.107538192,0.738234642,1.568962629,0.832158146,0.842694706,-0.903222368,418577.6902,4312963.766,12,1,12,1,Ambassador Well,110,yes,0,295344.3333,4315186.191,
49,0.448725682,1.691344835,1.009807818,-0.0638919,-0.49554339,0.772593459,-0.071265956,1.450432266,-1.33470403,-1.07860927,295327.6902,4315213.766,12,1,12,1,Gene Sawyer well,84,yes,0,418632.1365,4313014.704,
0,-0.560527293,1.877312524,-0.319881929,1.557851941,0.118046425,-0.085193622,-0.580014519,1.069163225,-0.054726168,-0.374482442,488077.6902,4319713.766,12,1,1,12,McLeod Hot Spring,134,no,0,488114.9537,4319792.886,
75,2.173405283,-0.156644852,-0.141913988,-0.728852841,0.196515339,0.50835912,-0.711823278,-0.878400252,-0.892474356,0.559194891,529827.6902,4323463.766,12,1,12,1,Diana's Punch Bowl-Potts Ranch,74,no,0,529886.4096,4323582.318,
